0.999886 , 2.9138 , 0.00520696
0.999748 , 2.9139 , 0.00775053
0.999609 , 2.914 , 0.00963904
0.999471 , 2.9141 , 0.0112156
0.999333 , 2.9142 , 0.0125907
0.999195 , 2.9143 , 0.0138378
0.999056 , 2.9144 , 0.0149803
0.998918 , 2.9145 , 0.0160411
0.99878 , 2.9146 , 0.0170357
0.998642 , 2.9147 , 0.0179753
0.998503 , 2.9148 , 0.0188681
0.998365 , 2.9149 , 0.0197205
0.998227 , 2.915 , 0.0205375
0.998089 , 2.9151 , 0.0213232
0.99795 , 2.9152 , 0.022076
0.997812 , 2.9153 , 0.0228099
0.997674 , 2.9154 , 0.0235206
0.997536 , 2.9155 , 0.0242103
0.997398 , 2.9156 , 0.0248808
0.997259 , 2.9157 , 0.0255336
0.997121 , 2.9158 , 0.0261701
0.996983 , 2.9159 , 0.0267914
0.996845 , 2.916 , 0.0273986
0.996707 , 2.9161 , 0.0279925
0.996569 , 2.9162 , 0.0285742
0.99643 , 2.9163 , 0.0291442
0.996292 , 2.9164 , 0.0297033
0.996154 , 2.9165 , 0.030252
0.996016 , 2.9166 , 0.0307909
0.995878 , 2.9167 , 0.0313206
0.99574 , 2.9168 , 0.0318415
0.995601 , 2.9169 , 0.032354
0.995463 , 2.917 , 0.0328585
0.995325 , 2.9171 , 0.0333553
0.995187 , 2.9172 , 0.0338449
0.995049 , 2.9173 , 0.0343275
0.994911 , 2.9174 , 0.0348034
0.994773 , 2.9175 , 0.0352729
0.994635 , 2.9176 , 0.0357362
0.994497 , 2.9177 , 0.0361936
0.994358 , 2.9178 , 0.0366453
0.99422 , 2.9179 , 0.0370915
0.994082 , 2.918 , 0.0375324
0.993944 , 2.9181 , 0.0379682
0.993806 , 2.9182 , 0.0383991
0.993668 , 2.9183 , 0.0388251
0.99353 , 2.9184 , 0.0392466
0.993392 , 2.9185 , 0.0396636
0.993254 , 2.9186 , 0.0400791
0.993116 , 2.9187 , 0.0404873
0.992978 , 2.9188 , 0.0408914
0.99284 , 2.9189 , 0.0412916
0.992702 , 2.919 , 0.041688
0.992564 , 2.9191 , 0.0420806
0.992426 , 2.9192 , 0.0424697
0.992288 , 2.9193 , 0.0428552
0.99215 , 2.9194 , 0.0432373
0.992012 , 2.9195 , 0.0436161
0.991874 , 2.9196 , 0.0439916
0.991736 , 2.9197 , 0.044364
0.991598 , 2.9198 , 0.0447333
0.99146 , 2.9199 , 0.0450995
0.991322 , 2.92 , 0.0454629
0.991184 , 2.9201 , 0.0458233
